20230603	20:28:15	dab6422f-24c9-438a-a0ef-ae419af43b9f	OPTIONS 	 http://localhost:3000 /ticket
20230603	20:28:15	a4934860-4e19-4b34-86f0-68887f495202	GET 	 http://localhost:3000 /ticket
20230603	20:31:49	e2e8c87a-5889-430f-8617-6748a40812d7	GET 	 http://localhost:3000 /refresh
20230603	20:31:49	fe11dbd1-c551-4ed2-bdfa-057f7d1b750a	GET 	 http://localhost:3000 /refresh
20230603	20:31:49	aa2f054b-7d2a-4961-8e14-772ae04036c1	OPTIONS 	 http://localhost:3000 /ticket
20230603	20:31:49	dbc867b7-0cd3-4e40-8698-16ce55887ee8	GET 	 http://localhost:3000 /ticket
20230603	20:31:58	881199c1-dee8-4b1f-8c20-d16618b0e8fc	GET 	 http://localhost:3000 /refresh
20230603	20:31:59	4c68fab4-cb57-40e4-9215-2f53d0bc17b0	GET 	 http://localhost:3000 /refresh
20230603	20:31:59	fa3be27e-5d73-489d-92a8-40aedaf23080	OPTIONS 	 http://localhost:3000 /ticket
20230603	20:31:59	34f77746-c9e9-4e48-90c7-dab3ec5985ca	GET 	 http://localhost:3000 /ticket
20230604	14:23:43	e6a28362-f84c-4494-be23-a00a7bee9e60	GET 	 http://localhost:3000 /refresh
20230604	14:23:43	2bfd234a-245e-45c8-821e-9b100ff4520a	GET 	 http://localhost:3000 /refresh
20230604	14:23:43	1e4fbf36-cd31-4213-aeae-cad5cf048dd7	GET 	 http://localhost:3000 /ticket
20230604	14:39:25	fa630277-62c8-4952-a102-fc6ee55fa2d5	GET 	 http://localhost:3000 /ticket
20230604	14:57:30	fac284e3-6fd4-4ffc-a6fd-e6de429b12e8	GET 	 http://localhost:3000 /refresh
20230604	14:57:30	65b24ee2-cfd6-406a-800b-71e44ce92d43	GET 	 http://localhost:3000 /refresh
20230604	14:57:30	323c5ad1-1ca3-4d36-9a7c-92c38eaa88b7	GET 	 http://localhost:3000 /ticket
20230604	14:57:51	93b2bf5a-e8bd-4541-898f-5ce4ce1628a3	GET 	 http://localhost:3000 /refresh
20230604	14:57:51	fdcc3305-fd21-46bf-8a04-99a6bf406020	GET 	 http://localhost:3000 /refresh
20230604	14:57:51	1d8389de-7813-4205-bafd-c63e3827126a	GET 	 http://localhost:3000 /ticket
20230605	08:43:32	62e7be33-74f9-46da-9c13-8f6f8744a78e	GET 	 http://localhost:3000 /refresh
20230605	08:43:32	91e15d3d-aaca-4e54-be68-8dde03b93962	GET 	 http://localhost:3000 /refresh
20230605	08:43:33	6d9a3d59-735a-4dff-94c5-dab960ff4727	GET 	 http://localhost:3000 /ticket
20230605	08:55:31	eb4ae861-252c-4a3c-b3a4-ae594d67f9f1	GET 	 http://localhost:3000 /ticket
20230605	09:04:20	76181311-e810-45b8-8122-783479987df4	GET 	 http://localhost:3000 /ticket
20230605	09:05:25	b6dd19b8-e26c-4178-95a1-ef4cfc91f6d4	GET 	 http://localhost:3000 /refresh
20230605	09:05:25	4e791fa1-8ab8-4e48-a072-fff213153983	GET 	 http://localhost:3000 /refresh
20230605	09:05:25	daf44a9b-4ca9-4365-958f-30b282365d39	GET 	 http://localhost:3000 /ticket
20230605	09:08:27	092dc85f-064b-4625-b44b-c943ffc4b21d	GET 	 http://localhost:3000 /refresh
20230605	09:08:27	aed30171-c74c-4873-9bbb-c6d49b998c70	GET 	 http://localhost:3000 /refresh
20230605	09:08:27	5c45b3d9-e45a-4e90-ad68-2a1b210253c5	GET 	 http://localhost:3000 /ticket
20230605	09:12:39	63b97903-4fd9-4914-a41d-20198a83b506	GET 	 http://localhost:3000 /refresh
20230605	09:12:39	840cac5c-6aa4-44cd-852e-d76225f12ebf	GET 	 http://localhost:3000 /refresh
20230605	09:12:39	f7952c7f-22e2-4e69-8e80-cc2d9383c19f	GET 	 http://localhost:3000 /ticket
20230605	10:03:54	27665d14-f80a-4dfb-9c61-146337677044	GET 	 http://localhost:3000 /ticket
20230605	10:05:11	264ccde9-4bc6-4da5-b2f1-28d82c75b23b	OPTIONS 	 http://localhost:3000 /ticket
20230605	10:05:11	7e2cb385-4840-4a0b-8ade-e9b608fe946d	POST 	 http://localhost:3000 /ticket
20230605	10:21:42	46e0c63a-e1f6-4742-913a-484b00d8dfb4	OPTIONS 	 http://localhost:3000 /ticket
20230605	10:21:42	63c9d53d-7eb8-40c0-958a-790b400f4d6f	POST 	 http://localhost:3000 /ticket
20230605	10:36:30	e41c2cb8-709d-4791-a03d-14e9ffdbac47	OPTIONS 	 http://localhost:3000 /ticket
